iter	MultiClass
0	2.046691852
1	1.838045343
2	1.697710852
3	1.593473978
4	1.512726646
5	1.448152432
6	1.393808237
7	1.349291019
8	1.311639588
9	1.280157968
10	1.252707293
11	1.229715921
12	1.21012411
13	1.192846605
14	1.178561226
15	1.165228083
16	1.153262595
17	1.142823665
18	1.133617538
19	1.12610463
20	1.119244738
21	1.113521238
22	1.108530726
23	1.10396805
24	1.100149327
25	1.096239661
26	1.092760768
27	1.090055227
28	1.087822015
29	1.085822717
30	1.083836551
31	1.082125587
32	1.080422049
33	1.079175333
34	1.078078589
35	1.077363785
36	1.076441229
37	1.075615178
38	1.074669625
39	1.073806477
40	1.072849067
41	1.072204667
42	1.071635738
43	1.070826767
44	1.070233209
45	1.069673292
46	1.069275196
47	1.069027831
48	1.068662102
49	1.068268593
50	1.067589428
51	1.067218524
52	1.066903944
53	1.066536196
54	1.066104244
55	1.065737417
56	1.065538591
57	1.065381748
58	1.064516206
59	1.064231725
60	1.063961865
61	1.063910391
62	1.063701639
63	1.063439337
64	1.063423665
65	1.063227704
66	1.062638021
67	1.062544686
68	1.062159807
69	1.061994238
70	1.061417766
71	1.061287507
72	1.061049364
73	1.061031288
74	1.060856793
75	1.060589564
76	1.060228267
77	1.059724134
78	1.059588119
79	1.059517085
80	1.059291495
81	1.059234646
82	1.059072263
83	1.058829757
84	1.058822765
85	1.058746523
86	1.058589995
87	1.05847823
88	1.058318576
89	1.058289708
90	1.058204412
91	1.05784956
92	1.057470247
93	1.057386219
94	1.057318648
95	1.057149012
96	1.057062631
97	1.056997704
98	1.056680115
99	1.056600287
100	1.056542728
101	1.056399965
102	1.056161694
103	1.056078631
104	1.055821066
105	1.055631916
106	1.05554188
107	1.055496958
108	1.05541749
109	1.055364192
110	1.055112118
111	1.055069467
112	1.054973407
113	1.054941461
114	1.054897572
115	1.054770862
116	1.054661382
117	1.054606782
118	1.054527225
119	1.054450556
120	1.054383669
121	1.054315293
122	1.054217025
123	1.054136112
124	1.054020873
125	1.053790923
126	1.053472958
127	1.053422405
128	1.053308294
129	1.053213276
130	1.053053938
131	1.052890721
132	1.052842767
133	1.052678444
134	1.052517079
135	1.052361648
136	1.052041263
137	1.051947126
138	1.05192218
139	1.051697156
140	1.051435528
141	1.051286519
142	1.051202459
143	1.051147272
144	1.051057647
145	1.050952059
146	1.050617774
147	1.050527593
148	1.050314439
149	1.050148123
150	1.05009226
151	1.049989404
152	1.049946307
153	1.04983112
154	1.049760489
155	1.049632873
156	1.049469188
157	1.049341451
158	1.049285791
159	1.049158437
160	1.048950686
161	1.048878106
162	1.048839282
163	1.048712941
164	1.048633676
165	1.04842495
166	1.048329276
167	1.048226326
168	1.04806385
169	1.047992623
170	1.047890843
171	1.047833916
172	1.047784063
173	1.047696557
174	1.0476227
175	1.047514018
176	1.047440619
177	1.047387113
178	1.047309195
179	1.047256744
180	1.047172922
181	1.047050834
182	1.047011333
183	1.046868366
184	1.046685867
185	1.046635704
186	1.046579296
187	1.046538241
188	1.046372793
189	1.046277955
190	1.046220926
191	1.046057654
192	1.046020045
193	1.045912651
194	1.04578197
195	1.045698992
196	1.045569685
197	1.045476335
198	1.045416905
199	1.045391123
200	1.045234587
201	1.045144321
202	1.045033026
203	1.044933205
204	1.044879185
205	1.044818575
206	1.044784611
207	1.044694262
208	1.044561564
209	1.044539071
210	1.04444442
211	1.044408388
212	1.044279213
213	1.044170906
214	1.044119878
215	1.043868329
216	1.043809673
217	1.043745568
218	1.043704333
219	1.043671868
220	1.043559806
221	1.043510526
222	1.043472132
223	1.043355408
224	1.043259668
225	1.043154037
226	1.04305234
227	1.042946493
228	1.042788518
229	1.042755574
230	1.042716932
231	1.042568289
232	1.042475672
233	1.042353893
234	1.04226432
235	1.042237267
236	1.042192801
237	1.042131676
238	1.042094753
239	1.042054474
240	1.042014783
241	1.041957539
242	1.041887632
243	1.041791628
244	1.041599044
245	1.041531071
246	1.041479303
247	1.041449352
