iter	Passed	Remaining
0	3641	3638185
1	5695	2841805
2	8612	2862246
3	11342	2824226
4	14106	2807171
5	17421	2886125
6	20625	2925905
7	23846	2956941
8	28318	3118185
9	32423	3209883
10	36997	3326371
11	41157	3388602
12	44528	3380739
13	48826	3438752
14	51330	3370706
15	55793	3431285
16	60527	3499917
17	65598	3578770
18	70267	3628045
19	72855	3569900
20	77830	3628389
21	83071	3692904
22	87840	3731321
23	92974	3780969
24	97026	3784027
25	102201	3828634
26	107392	3870117
27	111909	3884848
28	116924	3914943
29	121364	3924127
30	126417	3951581
31	131867	3988978
32	137077	4016782
33	142396	4045746
34	147684	4071876
35	149885	4013597
36	155316	4042438
37	161045	4076991
38	166647	4106376
39	171763	4122326
40	177554	4153034
41	183681	4189697
42	189324	4213562
43	195175	4240630
44	201644	4279338
45	207512	4303634
46	213451	4328068
47	219188	4347235
48	225289	4372463
49	231552	4399498
50	237509	4419533
51	243053	4431048
52	248574	4441512
53	254450	4457602
54	260431	4474686
55	265416	4474161
56	270105	4468583
57	276053	4483495
58	281477	4489327
59	287742	4507960
60	292676	4505306
61	294540	4456117
62	300627	4471232
63	305397	4466442
64	306432	4407907
65	312595	4423704
66	318690	4437883
67	324955	4453807
68	330269	4456245
69	336615	4472170
70	341860	4473081
71	347193	4474936
72	353470	4488592
73	354467	4435631
74	360533	4446584
75	366238	4452688
76	372456	4464635
77	378057	4468830
78	384383	4481224
79	391209	4498911
80	396748	4501379
81	402904	4510563
82	408352	4511561
83	414322	4518087
84	416231	4480607
85	421631	4481065
86	427804	4489491
87	433981	4497623
88	440149	4505351
89	446408	4513681
90	452682	4521850
91	458895	4529102
92	465082	4535803
93	471300	4542536
94	477659	4550333
95	484236	4559894
96	490126	4562727
97	495540	4560994
98	501628	4565325
99	507839	4570557
100	514043	4575496
101	519228	4571246
102	525469	4576177
103	530812	4573155
104	537148	4578550
105	543708	4585614
106	549960	4589854
107	556334	4594909
108	562068	4594523
109	568569	4600244
110	574977	4605002
111	581330	4609123
112	587393	4610777
113	592546	4605233
114	598733	4607641
115	605315	4612919
116	611388	4614151
117	617751	4617427
118	623491	4615932
119	629259	4614570
120	635363	4615572
121	641585	4617310
122	648222	4621882
123	654488	4623641
124	660085	4620601
125	666383	4622377
126	672288	4621321
127	679047	4626012
128	685958	4631551
129	692410	4633821
130	698980	4636751
131	705468	4638987
132	711959	4641117
133	718197	4641483
134	723587	4636322
135	729051	4631618
136	735339	4632103
137	741638	4632552
138	747355	4629302
139	753886	4631019
140	760306	4631937
141	765755	4626889
142	772717	4630900
143	778857	4629874
144	785591	4632283
145	790908	4626270
146	797447	4627366
147	803838	4627501
148	810359	4628294
149	816872	4628941
150	823187	4628382
151	829656	4628608
152	835356	4624491
153	841807	4624476
154	848088	4623449
155	854174	4621302
156	860186	4618710
157	866908	4619856
158	873254	4618909
159	879880	4619372
160	886238	4618347
161	892952	4619099
162	899341	4618090
163	903971	4608049
164	908831	4599240
165	914460	4594336
166	920161	4589785
167	927067	4591189
168	933848	4591880
169	940413	4591429
170	947162	4591801
171	953409	4589669
172	959944	4588869
